Brand,Brand_ID,Category,Subcategory,Wikidata_ID,Wikidata_Label,Wikidata_Description,Wikidata_URI
3Com,201.0,Electronics,Computers,Q229329,3Com,company,https://www.wikidata.org/entity/Q229329
98 Degrees,401.0,Music,Soul / R&B,Q277230,98 Degrees,American boy band,https://www.wikidata.org/entity/Q277230
AAA,301.0,Movies,Special Interests,Q7857,American Automobile Association,American nonprofit organization,https://www.wikidata.org/entity/Q7857
AC/DC,403.0,Music,Rock,Q27593,AC/DC,Australian-British hard rock band,https://www.wikidata.org/entity/Q27593
Aaron Tippin,402.0,Music,Country,Q302860,Aaron Tippin,American country musician and record producer,https://www.wikidata.org/entity/Q302860
Ace Of Base,404.0,Music,Pop,Q151634,Ace of Base,Swedish pop group,https://www.wikidata.org/entity/Q151634
Adam Sandler,302.0,Movies,Comedy,Q132952,Adam Sandler,American actor and comedian,https://www.wikidata.org/entity/Q132952
Al Green,405.0,Music,Soul / R&B,Q313260,Al Green,American singer,https://www.wikidata.org/entity/Q313260
Al Hirschfeld,101.0,Books,Art & Architecture,Q1532260,Al Hirschfeld,American artist and caricaturist (1903-2003),https://www.wikidata.org/entity/Q1532260
Aldous Huxley,102.0,Books,Literature,Q81447,Aldous Huxley,English writer and philosopher (1894–1963),https://www.wikidata.org/entity/Q81447
Alice In Chains,406.0,Music,Alternative,Q484255,Alice in Chains,American rock band,https://www.wikidata.org/entity/Q484255
Alison Krauss,407.0,Music,Country,Q371782,Alison Krauss,American musician,https://www.wikidata.org/entity/Q371782
Andy Rooney,103.0,Books,Books - Miscellaneous,Q138846,Andy Rooney,"writer, humorist, television personality (1911-2011)",https://www.wikidata.org/entity/Q138846
Anita Shreve,104.0,Books,Literature,Q460425,Anita Shreve,American writer (1946–2018),https://www.wikidata.org/entity/Q460425
Ann S. O'Leary,105.0,Books,Art & Architecture,--,no direct Wikidata match,--,--
Anthony Andrews,303.0,Movies,Action,Q534898,Anthony Andrews,British actor,https://www.wikidata.org/entity/Q534898
Anthony Perkins,304.0,Movies,Horror,Q193146,Anthony Perkins,American actor (1932–1992),https://www.wikidata.org/entity/Q193146
Antonio Banderas,305.0,Movies,Action,Q41548,Antonio Banderas,Spanish actor,https://www.wikidata.org/entity/Q41548
Antonio Vivaldi,408.0,Music,Music - Miscellaneous,Q1340,Antonio Vivaldi,Italian composer and violinist (1678-1741),https://www.wikidata.org/entity/Q1340
Aretha Franklin,409.0,Music,Soul / R&B,Q125121,Aretha Franklin,"American singer, songwriter, and pianist (1942–2018)",https://www.wikidata.org/entity/Q125121
Ayn Rand,106.0,Books,Literature,Q132524,Ayn Rand,Russian-born American writer and public philosopher (1905–1982),https://www.wikidata.org/entity/Q132524
BC Crandall,108.0,Books,Science & Technology,--,no direct Wikidata match,--,--
Barbara Moses,107.0,Books,Business,--,no direct Wikidata match,--,--
Barenaked Ladies,410.0,Music,Rock,Q371997,Barenaked Ladies,Canadian rock band,https://www.wikidata.org/entity/Q371997
Barney,306.0,Movies,Kids / Family,Q213588,Barney & Friends,American children's television series,https://www.wikidata.org/entity/Q213588
Barry Newman,307.0,Movies,Action,Q705352,Barry Newman,"American film, television, and stage actor (1930–2023)",https://www.wikidata.org/entity/Q705352
Barry White,412.0,Music,Soul / R&B,Q213647,Barry White,American soul singer (1944–2003),https://www.wikidata.org/entity/Q213647
