Item,Item_ID,Category,Subcategory,Brand,Wikidata_ID,Wikidata_Label,Wikidata_Description,Wikidata_URI,Match_Score
100 Places to Go While Still Young at Heart,1.0,Books,Art & Architecture,Elise MacLay,,,,,0
1984,40.0,Books,Literature,George Orwell,Q208460,Nineteen Eighty-Four,1949 dystopian social science fiction novel by George Orwell,https://www.wikidata.org/entity/Q208460,1
3Com 10/100 CardBus,129.0,Electronics,Computers,3Com,,,,,0
3Com 56K Cellular Modem PC Card,127.0,Electronics,Computers,3Com,,,,,0
3Com Networking Kit,130.0,Electronics,Computers,3Com,,,,,0
3Com OfficeConnect 56K LAN Modem,128.0,Electronics,Computers,3Com,,,,,0
3Com Palm IIIx Connected Organizer,137.0,Electronics,Electronics - Miscellaneous,3Com,,,,,0
3Com Palm V Connected Organizer,136.0,Electronics,Electronics - Miscellaneous,3Com,,,,,0
40 Most Wanted Cats,49.0,Books,Books - Miscellaneous,Nancy Drosd,,,,,0
50 Favorite Rooms,7.0,Books,Art & Architecture,Frank Lloyd Wright,,,,,0
500 Best Vacation Home Plans,8.0,Books,Art & Architecture,Inc. Staff Sunset Books,,,,,0
9 Steps to Financial Freedom,264.0,Movies,Special Interests,Suze Orman,,,,,0
98 Degrees & Rising,358.0,Music,Soul / R&B,98 Degrees,Q3284480,98 Degrees and Rising,album by 98 Degrees,https://www.wikidata.org/entity/Q3284480,1
A Boy Named Goo,283.0,Music,Alternative,Goo Goo Dolls,Q2604711,A Boy Named Goo,album by Goo Goo Dolls,https://www.wikidata.org/entity/Q2604711,1
A Bug's Life,242.0,Movies,Kids / Family,Dave Foley,Q216153,A Bug's Life,1998 animated film directed by John Lasseter and Andrew Stanton,https://www.wikidata.org/entity/Q216153,1
AAA Travel Video Series,256.0,Movies,Special Interests,AAA,,,,,0
Adirondack Style,5.0,Books,Art & Architecture,Ann S. O'Leary,,,,,0
"Ageless Body, Timeless Mind",87.0,Books,Sports & Health,Deepak Chopra,Q137804316,"Ageless Body, Timeless Mind",non-fiction work by Deepak Chopra,https://www.wikidata.org/entity/Q137804316,0
Al Green's Greatest Hits,350.0,Music,Soul / R&B,Al Green,Q4703910,Greatest Hits Volume II,1977 compilation album by Al green,https://www.wikidata.org/entity/Q4703910,2
Alice In Chains,280.0,Music,Alternative,Alice In Chains,Q68345325,Alice in Chains' albums in chronological order,Wikimedia albums discography,https://www.wikidata.org/entity/Q68345325,1
Alice in Wonderland,249.0,Movies,Kids / Family,Sterling Holloway,Q1761330,Alice in Wonderland,1976 pornographic musical film directed by Bud Townsend,https://www.wikidata.org/entity/Q1761330,1
All I Want,293.0,Music,Country,"Mcgraw, Tim",Q76467535,All I Want,vocal track by 702; 1996 studio recording,https://www.wikidata.org/entity/Q76467535,1
American Bungalow Style,13.0,Books,Art & Architecture,Robert Milton Winter,,,,,0
And Out Come Wolves,278.0,Music,Alternative,Rancid,,,,,0
Another Night,329.0,Music,Pop,Real Mccoy,Q4770311,Another Night,vocal track by Real McCoy; 1994 studio recording,https://www.wikidata.org/entity/Q4770311,1
Apocalypse Now,194.0,Movies,Action,Marlon Brando,Q182692,Apocalypse Now,1979 film directed by Francis Ford Coppola,https://www.wikidata.org/entity/Q182692,1
Apollo 13,185.0,Movies,Action,Tom Hanks,Q106428,Apollo 13,1995 film by Ron Howard,https://www.wikidata.org/entity/Q106428,1
"Architecture : Form, Space, & Order",6.0,Books,Art & Architecture,Frank D. K. Ching,,,,,0
Aretha Franklin's 30 Greatest Hits,359.0,Music,Soul / R&B,Aretha Franklin,,,,,0
Armageddon,190.0,Movies,Action,Bruce Willis,Q208344,Armageddon,1998 film directed by Michael Bay,https://www.wikidata.org/entity/Q208344,1
Art As Experience,2.0,Books,Art & Architecture,John Dewey,Q2690629,Art as Experience,by John Dewey,https://www.wikidata.org/entity/Q2690629,0
Art of Getting Even,47.0,Books,Books - Miscellaneous,Gary Brodsky,,,,,0
As Good As It Gets,205.0,Movies,Comedy,Jack Nicholson,Q221594,As Good as It Gets,1997 film directed by James L. Brooks,https://www.wikidata.org/entity/Q221594,1
Astro Creep,344.0,Music,Rock,White Zombie,Q779242,"Astro-Creep: 2000 – Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head",1995 studio album by White Zombie,https://www.wikidata.org/entity/Q779242,1
Atlas Shrugged,35.0,Books,Literature,Ayn Rand,Q374098,Atlas Shrugged,1957 novel by Ayn Rand,https://www.wikidata.org/entity/Q374098,1
Attention to Detail,17.0,Books,Business,Clinton T. Greenleaf III,Q26371112,Attention to detail boosts dragline's work,publication (OP) published in 1989,https://www.wikidata.org/entity/Q26371112,1
Austin Powers,208.0,Movies,Comedy,Mike Myers,Q6500001,Austin Powers,film series,https://www.wikidata.org/entity/Q6500001,1
Babe,196.0,Movies,Comedy,James Cromwell,Q80661712,Babe Films,French film production company,https://www.wikidata.org/entity/Q80661712,1
Barney,250.0,Movies,Kids / Family,Barney,Q808475,Barney,male given name,https://www.wikidata.org/entity/Q808475,0
Barry White's All-Time Greatest Hits,351.0,Music,Soul / R&B,Barry White,,,,,0
Basic Pro/Engineer in 20 Lessons,72.0,Books,Science & Technology,Louis Gary Lamit,,,,,0
Beethoven for Babies,313.0,Music,Music - Miscellaneous,Ludwig van Beethoven,,,,,0
Being Digital,66.0,Books,Science & Technology,Negroponte,Q4881294,Being Digital,1995 non-fiction work by Nicholas Negroponte,https://www.wikidata.org/entity/Q4881294,0
Best of Disney Volume 2,303.0,Music,Music - Miscellaneous,Disney,,,,,0
Big Willie Style,349.0,Music,Soul / R&B,Will Smith,Q859525,Big Willie Style,1997 debut solo album by Will Smith,https://www.wikidata.org/entity/Q859525,1
Blade,192.0,Movies,Action,Wesley Snipes,Q30936020,Blade,Japanese animation studio,https://www.wikidata.org/entity/Q30936020,1
Blue & White Living,9.0,Books,Art & Architecture,Stephanie Hoppen,,,,,0
Blue's Clues,251.0,Movies,Kids / Family,Blue,Q115819319,Blue's Big City Adventure,2022 live-action/animated children's musical comedy television film directed by Matt Stawski,https://www.wikidata.org/entity/Q115819319,2
Body for Life,78.0,Books,Sports & Health,Bill Phillips,Q4936905,Body for Life,fitness program created by Bill Phillips,https://www.wikidata.org/entity/Q4936905,0
Brave New World,37.0,Books,Literature,Aldous Huxley,Q191949,Brave New World,1932 novel by Aldous Huxley,https://www.wikidata.org/entity/Q191949,1
Bridge,317.0,Music,Pop,Ace Of Base,Q2925160,Bridge,2008 studio album by Joey Cape,https://www.wikidata.org/entity/Q2925160,1
Bryan White,297.0,Music,Country,"White, Bryan",Q4980466,Bryan White,album by Bryan White,https://www.wikidata.org/entity/Q4980466,1
Building With Stone,14.0,Books,Art & Architecture,Charles McRaven,Q111486593,Building with stone in East Devon and adjacent parts of Dorset and Somerset,article published in the Transactions of the Devonshire Association in 2006,https://www.wikidata.org/entity/Q111486593,0
Cabin Fever : Rustic Style Comes Home,12.0,Books,Art & Architecture,Rachel Carley,,,,,0
Caddyshack,204.0,Movies,Comedy,Chevy Chase,Q311638,Caddyshack,1980 film directed by Harold Ramis,https://www.wikidata.org/entity/Q311638,1
Career Intelligence,21.0,Books,Business,Barbara Moses,Q5038914,Career Intelligence Medal,,https://www.wikidata.org/entity/Q5038914,0
Catch-22,41.0,Books,Literature,Joseph L. Heller,Q278208,Catch-22,novel by the American author Joseph Heller (1961),https://www.wikidata.org/entity/Q278208,1
Charlotte's Web,244.0,Movies,Kids / Family,Henry Gibson,Q37785,Charlotte's Web,1973 American animated film,https://www.wikidata.org/entity/Q37785,1
Christine,236.0,Movies,Horror,Keith Gordon,Q2087646,Christine,female given name,https://www.wikidata.org/entity/Q2087646,0
City Of Angels,212.0,Movies,Drama,Nicolas Cage,Q168010,City of Angels,1998 film directed by Brad Silberling,https://www.wikidata.org/entity/Q168010,1
Classic Rock Guitar,261.0,Movies,Special Interests,Richard Bradley,,,,,0
Collective Soul,337.0,Music,Rock,Collective Soul,Q95833816,Collective Soul's albums in chronological order,Wikimedia albums discography,https://www.wikidata.org/entity/Q95833816,1
Complete Course in Magic,48.0,Books,Books - Miscellaneous,Mark Wilson,,,,,0
Completely Mad,59.0,Books,Books - Miscellaneous,Maria Reidelbach,,,,,0
Cracked Rearview,323.0,Music,Pop,Hootie & Blowfish,,,,,0
Crash,343.0,Music,Rock,Dave Matthews Band,Q109419978,Crash,2022 album by Charli XCX,https://www.wikidata.org/entity/Q109419978,1
Cubicle Warfare,22.0,Books,Business,Blaine L. Pardoe,,,,,0
Dangerous Beauty,213.0,Movies,Drama,Catherine McCormack,Q187999,Dangerous Beauty,1998 film directed by Marshall Herskovitz,https://www.wikidata.org/entity/Q187999,1
Day Job,28.0,Books,Business,Jonathan Baird,Q5242844,Day Job,album by Gord Bamford,https://www.wikidata.org/entity/Q5242844,0
Daydream,327.0,Music,Pop,Mariah Carey,Q115513565,Daydream,Instrumental piece recorded by Orchestre National de Jazz de Montréal,https://www.wikidata.org/entity/Q115513565,1
Design With Pic Microcontrollers,70.0,Books,Science & Technology,Peatman,Q126399910,Design with PIC microcontrollers,scholarly article,https://www.wikidata.org/entity/Q126399910,0
Digital Filters,65.0,Books,Science & Technology,Hamming,Q107613583,Digital Filters,"scientific article by Siqueira and Diniz, 2005",https://www.wikidata.org/entity/Q107613583,0
Don Henley's Greatest Hits,319.0,Music,Pop,Don Henley,,,,,0
Don't Step in the Leadership,19.0,Books,Business,Scott Adams,,,,,0
Don't Sweat the Small Stuff,25.0,Books,Business,Richard Carlson,Q116920753,Don't Sweat the Small Stuff … and It's All Small Stuff,1997 self-help book by Richard Carlson,https://www.wikidata.org/entity/Q116920753,1
Doo Wop Box,309.0,Music,Music - Miscellaneous,Doo Wop Box,,,,,0
