attribute_name,element_val,BI_tool
Call Center,Atlanta,Strategy
Call Center,San Diego,Strategy
Call Center,Berlin,Strategy
Call Center,San Francisco,Strategy
Call Center,"Washington, DC",Strategy
Call Center,Salt Lake City,Strategy
Call Center,Miami,Strategy
Call Center,Milwaukee,Strategy
Call Center,New Orleans,Strategy
Call Center,Seattle,Strategy
Call Center,Boston,Strategy
Call Center,New York,Strategy
Call Center,London,Strategy
Call Center,Fargo,Strategy
Call Center,Memphis,Strategy
Call Center,Paris,Strategy
Call Center,Charleston,Strategy
Call Center,Web,Strategy
Quarter,2020 Q1,Strategy
Quarter,2020 Q2,Strategy
Quarter,2020 Q3,Strategy
Quarter,2020 Q4,Strategy
Quarter,2021 Q1,Strategy
Quarter,2021 Q2,Strategy
Quarter,2021 Q3,Strategy
Quarter,2021 Q4,Strategy
Quarter,2022 Q1,Strategy
Quarter,2022 Q2,Strategy
Quarter,2022 Q3,Strategy
Quarter,2022 Q4,Strategy
Quarter,2023 Q1,Strategy
Quarter,2023 Q2,Strategy
Quarter,2023 Q3,Strategy
Quarter,2023 Q4,Strategy
Region,Southeast,Strategy
Region,Southwest,Strategy
Region,Germany,Strategy
Region,Northwest,Strategy
Region,Mid-Atlantic,Strategy
Region,Central,Strategy
Region,South,Strategy
Region,Northeast,Strategy
Region,England,Strategy
Region,France,Strategy
Region,Web,Strategy
Year,2020,Strategy
Year,2021,Strategy
Year,2022,Strategy
Year,2023,Strategy
Category,Books,Strategy
Category,Electronics,Strategy
Category,Movies,Strategy
Category,Music,Strategy
Country,USA,Strategy
Country,Germany,Strategy
Country,England,Strategy
Country,France,Strategy
Country,Web,Strategy
Customer,Aaby,Strategy
Customer,Aadland,Strategy
Customer,Aafedt,Strategy
Customer,Aagesen,Strategy
Customer,Aalgaard,Strategy
Customer,Aamodt,Strategy
Customer,Aarestad,Strategy
Customer,Aarnink,Strategy
Customer,Aaron,Strategy
Customer,Aaronson,Strategy
Customer,Aasen,Strategy
Customer,Aba,Strategy
Customer,Aba-Bulgu,Strategy
Customer,Abad,Strategy
Customer,Abadilla,Strategy
Customer,Abajian,Strategy
Customer,Abarbanel,Strategy
Customer,Abarca,Strategy
Customer,Abas,Strategy
Customer,Abatemarco,Strategy
Customer,Abbasi,Strategy
Customer,Abbenhaus,Strategy
Customer,Abbott,Strategy
Customer,Abbruscato,Strategy
Customer,Abdala,Strategy
Customer,Abdallah,Strategy
Customer,Abdullah,Strategy
Customer,Abdyusheva,Strategy
Customer,Abel,Strategy
Customer,Abele,Strategy
Customer,Abeleda,Strategy
Customer,Abeles,Strategy
Customer,Abelia,Strategy
Customer,Abell,Strategy
Customer,Abels,Strategy
