environment,notebook,dataframe,rows,columns
env1,load_rag_cubes.ipynb,dos_rep_prp_rel_df,10,12
env1,load_rag_cubes.ipynb,AI_dos_rep_df,2,7
env1,load_rag_cubes.ipynb,read_out_prp_all_df,108,8
env1,load_rag_cubes.ipynb,obj_prp_rel_df,2324,12
env1,load_rag_cubes.ipynb,key_att_form_val_df,60434,15
env1,load_rag_cubes.ipynb,prompt_expression_df,27,12
env1,load_rag_cubes.ipynb,key_att_elemt_val_df,1203,13
env1,load_rag_cubes.ipynb,att_form_exp_df,192,19
env1,load_rag_cubes.ipynb,fact_exp_df,156,18
env1,load_rag_cubes.ipynb,table_df,658,14
env1,load_rag_cubes.ipynb,tbl_att_fct_df,2275,15
env1,load_rag_cubes.ipynb,cube_head_read_out_df,32,22
env1,load_rag_cubes.ipynb,cube_att_read_out_df,543,7
env1,load_rag_cubes.ipynb,cube_met_read_out_df,200,5
env1,load_rag_cubes.ipynb,doss_vis_obj_df,24,22
env1,load_rag_cubes.ipynb,selector_df,5,17
env1,load_rag_cubes.ipynb,doss_chapter_filt_df,4,15
env1,load_rag_cubes.ipynb,doss_selector_filt_df,5,17
env1,load_rag_cubes.ipynb,rep_def_df,4,22
env1,load_rag_cubes.ipynb,att_list_df,92,1
env1,load_rag_cubes.ipynb,att_def_df,273,25
env1,load_rag_cubes.ipynb,att_form_def_df,86,19
env2,load_rag_cubes.ipynb,dos_rep_prp_rel_df,10,12
env2,load_rag_cubes.ipynb,AI_dos_rep_df,2,7
env2,load_rag_cubes.ipynb,read_out_prp_all_df,108,8
env2,load_rag_cubes.ipynb,obj_prp_rel_df,2324,12
env2,load_rag_cubes.ipynb,key_att_form_val_df,60434,15
env2,load_rag_cubes.ipynb,prompt_expression_df,27,12
env2,load_rag_cubes.ipynb,key_att_elemt_val_df,1203,13
env2,load_rag_cubes.ipynb,att_form_exp_df,192,19
env2,load_rag_cubes.ipynb,fact_exp_df,156,18
env2,load_rag_cubes.ipynb,table_df,658,14
env2,load_rag_cubes.ipynb,tbl_att_fct_df,2275,15
env2,load_rag_cubes.ipynb,cube_head_read_out_df,32,22
env2,load_rag_cubes.ipynb,cube_att_read_out_df,543,7
env2,load_rag_cubes.ipynb,cube_met_read_out_df,200,5
env2,load_rag_cubes.ipynb,doss_vis_obj_df,24,22
env2,load_rag_cubes.ipynb,selector_df,5,17
env2,load_rag_cubes.ipynb,doss_chapter_filt_df,4,15
env2,load_rag_cubes.ipynb,doss_selector_filt_df,5,17
env2,load_rag_cubes.ipynb,rep_def_df,4,22
env2,load_rag_cubes.ipynb,att_list_df,92,1
env2,load_rag_cubes.ipynb,att_def_df,273,25
env2,load_rag_cubes.ipynb,att_form_def_df,86,19
env1,mstr_admin.ipynb,tes_df,3,2
env2,mstr_admin.ipynb,tes_df,3,2
env1,jup_migrate.ipynb,migrations_excel_df,2,2
env1,jup_migrate.ipynb,package_content_df,2,5
env2,jup_migrate.ipynb,migrations_excel_df,2,2
env2,jup_migrate.ipynb,package_content_df,2,5
