environment,notebook,dataframe,rows,columns
env1,jup_schema_monitor.ipynb,att_form_exp_df,527,25
env1,jup_schema_monitor.ipynb,fact_exp_df,156,18
env1,jup_schema_monitor.ipynb,table_df,658,14
env1,jup_schema_monitor.ipynb,tbl_att_fct_df,2275,15
env1,jup_schema_monitor.ipynb,report_usage_df,0,5
env1,jup_schema_monitor.ipynb,view_col_usage_df,0,10
env1,jup_schema_monitor.ipynb,obj_depn_df,77,14
env1,jup_schema_monitor.ipynb,depn_obj_df_flag,385,16
env2,jup_schema_monitor.ipynb,att_form_exp_df,527,25
env2,jup_schema_monitor.ipynb,fact_exp_df,156,18
env2,jup_schema_monitor.ipynb,table_df,658,14
env2,jup_schema_monitor.ipynb,tbl_att_fct_df,2275,15
env2,jup_schema_monitor.ipynb,report_usage_df,0,5
env2,jup_schema_monitor.ipynb,view_col_usage_df,0,10
env2,jup_schema_monitor.ipynb,obj_depn_df,77,14
env2,jup_schema_monitor.ipynb,depn_obj_df_flag,385,16
